what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1560096735557
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1560096735558
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1560096735558
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1560096735571
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1560096735572
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1560096735573
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1560096735574
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1560096735575
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1560096735576
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1560096735576
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1560096735576
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1560096735577
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1560096735578
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1560096735579
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1560096735579
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1560096735580
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1560096735581
os,sysinfo,,,"win32",1560096735584
arch,sysinfo,,,"x86",1560096735584
ws,sysinfo,,,"win32",1560096735584
locale,sysinfo,,,"en_IN",1560096735584
processors,sysinfo,,,"4",1560096735584
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1560096735584
java.runtime.version,sysinfo,,,"1.8.0_211-b12",1560096735584
java.specification.name,sysinfo,,,"Java Platform API Specification",1560096735584
java.specification.vendor,sysinfo,,,"Oracle Corporation",1560096735584
java.specification.version,sysinfo,,,"1.8",1560096735584
java.vendor,sysinfo,,,"Oracle Corporation",1560096735584
java.version,sysinfo,,,"1.8.0_211",1560096735584
java.vm.info,sysinfo,,,"mixed mode",1560096735584
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560096735584
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560096735584
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1560096735584
java.vm.specification.version,sysinfo,,,"1.8",1560096735584
java.vm.vendor,sysinfo,,,"Oracle Corporation",1560096735584
java.vm.version,sysinfo,,,"25.211-b12",1560096735584
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1560096735591
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1560096735695
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1560096735888
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1560096736228
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1560096736498
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1560096736768
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1560096736792
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1560096736796
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1560096736859
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1560096736907
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1560096737155
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1560096737173
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1560096737348
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1560096737389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096737437
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1560096737664
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1560096738136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096763823
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1560096781992
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1560096782483
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1560096782532
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096793136
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096793250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.newEditor",1560096793257
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096795887
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096797274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1560096803250
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560096807217
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096818334
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1560096830236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096832844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096833793
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560096833816
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1560096835362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096840047
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096847329
